Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,
Fire Emblem: Awakening,3DS,2012,Role-Playing,Nintendo,0.9,0.45,0.54,0.13,2.01,92,72,9.1,1130,Intelligent Systems,T,
Lifeline,PS2,2003,Adventure,Sony Computer Entertainment,0.03,0.03,0,0.01,0.07,61,31,7.7,9,SCEJ,M,
Summon Night 4,PS2,2006,Role-Playing,Banpresto,0,0,0.18,0,0.18,,,,,,,
Marvel Super Hero Squad: Comic Combat,Wii,2011,Action,THQ,0.14,0.03,0,0.01,0.18,,,,,THQ,E10+,
Saiyuki: Journey West,PS,1999,Strategy,Tecmo Koei,0.03,0.02,0,0,0.05,73,9,7.1,9,Koei,E,
Shinseiki Evangelion: Battle Orchestra Portable,PSP,2009,Fighting,Broccoli,0,0,0.01,0,0.01,,,,,,,
Doraemon 2: Nobita no Toizurando Daibouken,SNES,1993,Role-Playing,Epoch,0,0,0.05,0,0.05,,,,,,,
Kingdom Hearts: Birth by Sleep - Final Mix,PSP,2011,Role-Playing,Square Enix,0,0,0.16,0,0.16,,,,,,,
Urban Chaos: Riot Response,XB,2006,Shooter,Eidos Interactive,0.01,0,0,0,0.02,72,34,8.6,9,Rocksteady Studios,M,
Injustice: Gods Among Us,PS3,2013,Fighting,Warner Bros. Interactive Entertainment,0.48,0.5,0.01,0.2,1.18,78,37,7.9,282,NetherRealm Studios,T,
Galileo,DS,2008,Adventure,D3Publisher,0,0,0.03,0,0.03,,,,,,,
Mahjong Taikai,DS,2004,Misc,Tecmo Koei,0,0,0.04,0,0.04,,,,,,,
Pokemon Mystery Dungeon: Gates to Infinity,3DS,2012,Role-Playing,Nintendo,0.44,0.29,0.47,0.07,1.27,59,46,6.3,134,"Nintendo, Spike Chunsoft",E,
Jikkyou Powerful Pro Yakyuu '98 Ketteiban,PS,1998,Sports,Konami Digital Entertainment,0,0,0.25,0.02,0.27,,,,,,,
428: Fuusa Sareta Shibuya de,PSP,2009,Adventure,Spike,0,0,0.04,0,0.04,,,,,,,
NFL GameDay 2002,PS,2001,Sports,Sony Computer Entertainment,0.23,0.15,0,0.03,0.4,62,10,8.8,4,989 Sports,E,
Guilty Gear XX Accent Core,Wii,2007,Fighting,505 Games,0.03,0,0,0,0.04,75,15,8.4,19,Arc System Works,T,
Condemned 2: Bloodshot,X360,2008,Action,Sega,0.38,0.19,0,0.06,0.63,80,76,8.4,178,Monolith Productions,M,
Battle Soccer: Field no Hasha,SNES,1992,Sports,Banpresto,0,0,0.16,0,0.16,,,,,,,
Dragon Ball Z: Extreme Butoden,3DS,2015,Fighting,Namco Bandai Games,0.12,0.03,0.16,0.02,0.33,61,32,6.6,32,Arc System Works,T,
Dead or Alive 4,X360,2005,Fighting,Tecmo Koei,0.3,0.03,0.1,0.03,0.47,85,76,8.2,223,Team Ninja,M,
Dynasty Warriors 4 Empires,PS2,2004,Action,Tecmo Koei,0,0,0.32,0,0.32,71,29,8.8,19,Omega Force,T,
Greg Hastings Paintball 2,Wii,2010,Shooter,505 Games,0.11,0,0,0.01,0.12,,,,,Super X Studios,E10+,
Strawberry Shortcake: Strawberryland Games,DS,2006,Action,Game Factory,0.05,0,0,0,0.05,,,,,Gorilla Systems,E,
America's Army: Rise of a Soldier,XB,2005,Shooter,Ubisoft,0.19,0.05,0,0.01,0.25,70,19,7.4,21,Secret Level,T,
Mega Man X: Command Mission,GC,2004,Role-Playing,Capcom,0.1,0.02,0,0,0.12,67,21,7.3,12,Capcom,E,
Earth Defense Force 2025.1: The Shadow of New Despair,PS4,2015,Action,D3Publisher,0,0,0.1,0,0.1,,,,,,,
Stormrise,X360,2009,Strategy,Sega,0.11,0.03,0,0.01,0.15,48,36,6.8,17,Creative Assembly,M,
Golden Nugget 64,N64,1998,Misc,Electronic Arts,0.07,0.02,0,0,0.09,,,,,,,
Next Generation of Chaos,PS2,2002,Role-Playing,Idea Factory,0,0,0.05,0,0.05,,,,,,,
Pokemon Trozei!,DS,2005,Puzzle,Nintendo,0.25,0,0.31,0.02,0.59,,,,,,,
MindJack,X360,2011,Shooter,Square Enix,0.07,0.02,0,0.01,0.09,43,42,1.2,116,FeelPlus,M,
Ishin no Arashi: Shippuu Ryuumeden,DS,2010,Strategy,Tecmo Koei,0,0,0.01,0,0.01,,,,,,,
Chicken Shoot,Wii,2007,Action,Zoo Digital Publishing,0.32,0,0,0.02,0.35,27,9,4.8,26,Destination Software,E10+,
Scooby-Doo! Mystery Mayhem,PS2,2004,Action,THQ,0.22,0.17,0,0.06,0.45,,,,,,,
Parasite Eve,PS,1998,Role-Playing,SquareSoft,0.94,0.07,1.05,0.04,2.1,81,17,8.9,89,SquareSoft,M,
Shin Megami Tensei: Devil Survivor Overclocked,3DS,2011,Role-Playing,Ghostlight,0.28,0.01,0.06,0.03,0.38,78,27,8.2,97,Atlus,T,
Brandish: The Dark Revenant,PSP,2009,Role-Playing,Falcom Corporation,0,0,0.02,0,0.02,78,9,8.3,12,Falcom,T,
Duel Love: Koisuru Otome wa Shouri no Megami,DS,2008,Adventure,Namco Bandai Games,0,0,0.01,0,0.01,,,,,,,
Caesars Palace Advance: Millennium Gold Edition,GBA,2001,Misc,Majesco Entertainment,0.05,0.02,0,0,0.07,,,,,,,
The Sims: Bustin' Out,XB,2003,Simulation,Electronic Arts,0.4,0.14,0,0.02,0.56,81,26,8.9,12,Maxis,T,
The Sly Collection,PS3,2010,Platform,Sony Computer Entertainment,0.52,0.08,0.01,0.08,0.68,85,46,8.8,172,Sanzaru Games,E10+,
CIMA: The Enemy,GBA,2003,Role-Playing,Marvelous Interactive,0.02,0.01,0,0,0.03,70,11,,,Neverland,E,
Supremacy MMA,X360,2011,Fighting,505 Games,0.05,0.02,0,0.01,0.08,49,17,6.2,11,Kung Fu Factory,M,
Fatal Fury: Battle Archives Volume 2 (JP sales),PS2,2007,Fighting,SNK Playmore,0,0,0.01,0,0.01,,,,,,,
SingStar Latino,PS3,2009,Misc,Sony Computer Entertainment,0.11,0,0,0.01,0.11,,,,,SCEE London Studio,T,
GunPey DS,DS,2006,Puzzle,Atari,0.04,0,0,0,0.05,70,24,,,Q Entertainment,E,
Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,Platform,Nintendo,2.1,0.74,2.2,0.11,5.15,,,,,,,
Valkyrie Profile: Lenneth,PSP,2006,Role-Playing,Square Enix,0.17,0.01,0.16,0.02,0.36,80,39,8.4,57,TOSE,T,
Phantasy Star Universe,X360,2006,Role-Playing,Sega,0.09,0.01,0,0.01,0.12,64,34,7.4,42,Sonic Team,T,
Little League World Series Baseball: Double Play,Wii,2010,Sports,Activision,0.07,0,0,0.01,0.08,,,,,Activision,E,
Rugby 08,PS2,2007,Sports,Electronic Arts,0.02,0.01,0,0,0.04,74,21,7.4,25,EA Canada,E,
Nanashi no Game Me,DS,2009,Action,Square Enix,0,0,0.03,0,0.03,,,,,,,
Virtua Tennis 2009,Wii,2009,Sports,Sega,0.12,0.21,0,0.04,0.37,73,33,7.7,21,Sumo Digital,E,
World of Outlaws: Sprint Cars,X360,2010,Racing,THQ,0.17,0,0,0.01,0.18,57,4,8.1,10,Big Ant Studios,E,
SingStar Vol. 2,PS3,2008,Misc,Sony Computer Entertainment,0.29,0.39,0,0.12,0.81,76,36,,,SCEE London Studio,T,
Aliens: Colonial Marines,PS3,2013,Shooter,Sega,0.2,0.29,0,0.11,0.6,43,25,3.6,295,Gearbox Software,M,
Imagine: Boutique Owner,DS,2009,Simulation,Ubisoft,0.2,0,0,0.01,0.21,,,,,Creative Patterns,E,
Tigger's Honey Hunt,PS,2000,Platform,Ubisoft,0.16,0.11,0,0.02,0.28,,,,,,,
NightCaster II: Equinox,XB,2002,Action,Jaleco,0.03,0.01,0,0,0.05,46,12,7,4,Jaleco Entertainment,T,
Hercules: The Legendary Journeys,N64,2000,Role-Playing,Titus,0.04,0.01,0,0,0.05,,,,,,,
Interactive Storybook DS Series 3,DS,2007,Misc,Tommo,0.02,0,0,0,0.02,,,,,Starfish SD,E,
GRID 2,PC,2013,Racing,Codemasters,0,0.06,0,0.01,0.06,80,17,5.7,571,Codemasters,E,
Ikki Tousen: Xross Impact,PSP,2010,Action,Marvelous Interactive,0,0,0.06,0,0.06,,,,,,,
